ds,yhat,yhat_lower,yhat_upper
2010-12-01,0.0,,
2010-12-02,46376.41600465856,,
2010-12-03,46919.95705112436,,
2010-12-04,34030.53728320818,,
2010-12-05,30207.82018078894,,
2010-12-06,32333.017980476703,,
2010-12-07,33142.02110062884,,
2010-12-08,42764.330152206756,,
2010-12-09,41126.17699603184,,
2010-12-10,30131.015479699447,,
2010-12-11,31378.678194126627,,
2010-12-12,35878.34494778919,,
2010-12-13,27339.31701028487,,
2010-12-14,36037.34580494026,,
2010-12-15,30483.356531085537,,
2010-12-16,31319.516947285752,,
2010-12-17,35680.06465563691,,
2010-12-18,28846.437299431793,,
2010-12-19,20065.050151836826,,
2010-12-20,18270.382390281848,,
2010-12-21,21549.990248384373,,
2010-12-22,21299.819009372008,,
2010-12-23,17044.168407722165,,
2010-12-24,9657.451716132175,,
2010-12-25,9950.818466569925,,
2010-12-26,6623.19665912108,,
2010-12-27,11231.026020412084,,
2010-12-28,9433.094083131762,,
2010-12-29,5706.769233856702,,
2010-12-30,7025.697059897375,,
2010-12-31,7278.074105298038,,
2011-01-01,7348.982528084478,,
2011-01-02,7346.2050125350415,,
2011-01-03,7315.091697827923,,
2011-01-04,7273.99445485154,,
2011-01-05,9321.439455503247,,
2011-01-06,13744.604593482687,,
2011-01-07,17148.883718330573,,
2011-01-08,16723.168736520296,,
2011-01-09,16644.489874163955,,
2011-01-10,14574.536890289653,,
2011-01-11,18787.778093395387,,
2011-01-12,37166.0414057512,,
2011-01-13,26970.181953849937,,
2011-01-14,18542.627265163697,,
2011-01-15,24373.81424745986,,
2011-01-16,23063.76509294474,,
2011-01-17,14478.568129263162,,
2011-01-18,27784.40804141262,,
2011-01-19,12241.780871378569,,
2011-01-20,15450.465311749094,,
2011-01-21,23274.834700607713,,
2011-01-22,23972.114145508167,,
2011-01-23,12073.828130016822,,
2011-01-24,16235.313013026382,,
2011-01-25,13982.602037137349,,
2011-01-26,22689.513881319555,,
2011-01-27,17286.90100169372,,
2011-01-28,22516.30889686515,,
2011-01-29,20100.053239391975,,
2011-01-30,13542.171364421465,,
2011-01-31,13504.13662611666,,
2011-02-01,18369.63972162309,,
2011-02-02,18525.67637558129,,
2011-02-03,19618.30393679627,,
2011-02-04,18366.229725194742,,
2011-02-05,18047.77665029704,,
2011-02-06,12082.227078826383,,
2011-02-07,12258.567091403673,,
2011-02-08,19237.518285835187,,
2011-02-09,14831.19007710477,,
2011-02-10,15939.088744234405,,
2011-02-11,14768.776471616287,,
2011-02-12,16597.64393639205,,
2011-02-13,8808.789350812936,,
2011-02-14,16746.647093088028,,
2011-02-15,15640.39110697725,,
2011-02-16,19388.58291604204,,
2011-02-17,20572.86691333282,,
2011-02-18,20408.69152918209,,
2011-02-19,17586.809168872092,,
2011-02-20,10188.618482754919,,
2011-02-21,18059.990178405227,,
2011-02-22,27390.886754947896,,
2011-02-23,22155.3186387354,,
2011-02-24,18267.90145572874,,
2011-02-25,17537.67177316384,,
2011-02-26,17430.411327240985,,
2011-02-27,14717.105106522318,,
2011-02-28,20765.540739156542,,
2011-03-01,18265.57319972094,,
2011-03-02,17528.967035832564,,
2011-03-03,18854.058992464456,,
2011-03-04,21218.086284548062,,
2011-03-05,18972.4254789611,,
2011-03-06,13844.53563843702,,
2011-03-07,15000.668028477125,,
2011-03-08,20395.66413980631,,
2011-03-09,18901.84563800348,,
2011-03-10,24107.957045120645,,
2011-03-11,18332.340051570933,,
2011-03-12,17851.99776698106,,
2011-03-13,14090.926022880274,,
2011-03-14,12636.321645850747,,
2011-03-15,18369.95618000027,,
2011-03-16,16746.245444603206,,
2011-03-17,20183.87202929526,,
2011-03-18,20373.81351307751,,
